id,Latitude dd,longitude dd,Name,Description,Latitude ddm,Longitude ddm,"W","X","Y","Z"
17,41.07112633717097,-70.39629701434849,AQ41,Wind Turbine Generator,41°04.268'N,070°23.778'W,"14,143.26","25,223.34","43,751.24","60,132.72"
18,41.07139131602782,-70.37425870981099,AQ42,Wind Turbine Generator,41°04.283'N,070°22.456'W,"14,135.68","25,212.23","43,749.79","60,133.16"
19,41.07030612180919,-70.46241013176284,AQ38,Wind Turbine Generator,41°04.218'N,070°27.745'W,"14,166.06","25,257.01","43,755.64","60,131.37"
20,41.070024290980875,-70.48444722327422,AQ37,Wind Turbine Generator,41°04.201'N,070°29.067'W,"14,173.68","25,268.33","43,757.11","60,130.91"
21,41.06973824758311,-70.50648399985957,AQ36,Wind Turbine Generator,41°04.184'N,070°30.389'W,"14,181.32","25,279.68","43,758.58","60,130.45"
22,41.06944799179041,-70.52852045685191,AQ35,Wind Turbine Generator,41°04.167'N,070°31.711'W,"14,188.97","25,291.08","43,760.05","60,129.99"
23,41.069153523779846,-70.55055658958473,AQ34,Wind Turbine Generator,41°04.149'N,070°33.033'W,"14,196.64","25,302.51","43,761.53","60,129.52"
24,41.05390594334247,-70.44000882908738,AR39,Wind Turbine Generator,41°03.234'N,070°26.401'W,"14,162.01","25,246.29","43,747.36","60,129.62"
25,41.05417918894069,-70.41797668482808,AR40,Wind Turbine Generator,41°03.251'N,070°25.079'W,"14,154.42","25,235.18","43,745.91","60,130.08"
26,41.05444822391911,-70.39594423993408,AR41,Wind Turbine Generator,41°03.267'N,070°23.757'W,"14,146.84","25,224.14","43,744.46","60,130.53"
27,41.05471304811365,-70.37391149906955,AR42,Wind Turbine Generator,41°03.283'N,070°22.435'W,"14,139.28","25,213.16","43,743.02","60,130.98"
28,41.053628487291114,-70.46204066804825,AR38,Wind Turbine Generator,41°03.218'N,070°27.722'W,"14,169.61","25,257.45","43,748.82","60,129.16"
29,41.05334682095582,-70.48407219704733,AR37,Wind Turbine Generator,41°03.201'N,070°29.044'W,"14,177.22","25,268.67","43,750.27","60,128.70"
30,41.05306094450834,-70.50610341142168,AR36,Wind Turbine Generator,41°03.184'N,070°30.366'W,"14,184.85","25,279.93","43,751.73","60,128.23"
31,41.05277085812305,-70.5281343065088,AR35,Wind Turbine Generator,41°03.166'N,070°31.688'W,"14,192.49","25,291.23","43,753.20","60,127.76"
32,41.05247656197682,-70.55016487764665,AR34,Wind Turbine Generator,41°03.149'N,070°33.010'W,"14,200.14","25,302.57","43,754.66","60,127.29"
33,41.05217805624912,-70.57219512017352,AR33,Wind Turbine Generator,41°03.131'N,070°34.332'W,"14,207.80","25,313.94","43,756.13","60,126.81"
34,41.037228095706794,-70.43964523348043,AS39,Wind Turbine Generator,41°02.234'N,070°26.379'W,"14,165.55","25,247.02","43,740.54","60,127.41"
35,41.03750118180663,-70.41761864765894,AS40,Wind Turbine Generator,41°02.250'N,070°25.057'W,"14,157.98","25,236.03","43,739.10","60,127.88"
36,41.03777005974323,-70.39559176149028,AS41,Wind Turbine Generator,41°02.266'N,070°23.736'W,"14,150.41","25,225.12","43,737.67","60,128.34"
37,41.038034729352624,-70.37356457963416,AS42,Wind Turbine Generator,41°02.282'N,070°22.414'W,"14,142.86","25,214.28","43,736.23","60,128.80"
38,41.03695080161017,-70.4616715142955,AS38,Wind Turbine Generator,41°02.217'N,070°27.700'W,"14,173.14","25,258.07","43,741.98","60,126.94"
39,41.036669299685826,-70.4836974854452,AS37,Wind Turbine Generator,41°02.200'N,070°29.022'W,"14,180.74","25,269.18","43,743.43","60,126.47"
40,41.03638359010537,-70.50572314227108,AS36,Wind Turbine Generator,41°02.183'N,070°30.343'W,"14,188.36","25,280.34","43,744.87","60,126.00"
41,41.03609367304298,-70.52774848011511,AS35,Wind Turbine Generator,41°02.166'N,070°31.665'W,"14,195.98","25,291.54","43,746.32","60,125.52"
42,41.03579954867536,-70.5497734943196,AS34,Wind Turbine Generator,41°02.148'N,070°32.986'W,"14,203.62","25,302.79","43,747.78","60,125.05"
43,41.035501217181825,-70.57179818022739,AS33,Wind Turbine Generator,41°02.130'N,070°34.308'W,"14,211.27","25,314.07","43,749.23","60,124.56"
44,41.03519867874423,-70.59382253318172,AS32,Wind Turbine Generator,41°02.112'N,070°35.629'W,"14,218.93","25,325.39","43,750.69","60,124.08"
45,41.02055019699572,-70.43928194288003,AT39,Wind Turbine Generator,41°01.233'N,070°26.357'W,"14,169.08","25,247.92","43,733.71","60,125.19"
46,41.02082312367673,-70.41726091083703,AT40,Wind Turbine Generator,41°01.249'N,070°25.036'W,"14,161.52","25,237.06","43,732.28","60,125.66"
47,41.02109184464978,-70.39523957873399,AT41,Wind Turbine Generator,41°01.266'N,070°23.714'W,"14,153.97","25,226.27","43,730.86","60,126.13"
48,41.020273064773086,-70.46130267020817,AT38,Wind Turbine Generator,41°01.216'N,070°27.678'W,"14,176.66","25,258.86","43,735.14","60,124.72"
49,41.01999172717774,-70.48332308816697,AT37,Wind Turbine Generator,41°01.200'N,070°28.999'W,"14,184.25","25,269.86","43,736.57","60,124.24"
50,41.01970618438109,-70.50534319210244,AT36,Wind Turbine Generator,41°01.182'N,070°30.321'W,"14,191.85","25,280.91","43,738.00","60,123.76"
51,41.01941643655718,-70.52736297736097,AT35,Wind Turbine Generator,41°01.165'N,070°31.642'W,"14,199.46","25,292.01","43,739.44","60,123.28"
52,41.01912248388255,-70.54938243928933,AT34,Wind Turbine Generator,41°01.147'N,070°32.963'W,"14,207.09","25,303.17","43,740.88","60,122.79"
53,41.018824326536325,-70.57140157323481,AT33,Wind Turbine Generator,41°01.129'N,070°34.284'W,"14,214.73","25,314.36","43,742.32","60,122.30"
54,41.00387224721587,-70.43891895699454,AU39,Wind Turbine Generator,41°00.232'N,070°26.335'W,"14,172.60","25,248.98","43,726.87","60,122.96"
55,41.004145014557466,-70.4169034740752,AU40,Wind Turbine Generator,41°00.249'N,070°25.014'W,"14,165.05","25,238.24","43,725.45","60,123.44"
56,41.00359527678658,-70.4609341354902,AU38,Wind Turbine Generator,41°00.216'N,070°27.656'W,"14,180.16","25,259.80","43,728.28","60,122.48"
57,41.003314103438335,-70.48294900491216,AU37,Wind Turbine Generator,41°00.199'N,070°28.977'W,"14,187.74","25,270.68","43,729.70","60,122.00"
58,41.003028727342404,-70.50496356061083,AU36,Wind Turbine Generator,41°00.182'N,070°30.298'W,"14,195.33","25,281.63","43,731.12","60,121.51"
59,40.98719424637386,-70.43855627553283,AV39,Wind Turbine Generator,40°59.232'N,070°26.313'W,"14,176.10","25,250.18","43,720.01","60,120.73"
60,40.986917437657354,-70.46056590984603,AV38,Wind Turbine Generator,40°59.215'N,070°27.634'W,"14,183.65","25,260.88","43,721.41","60,120.24"
61,40.98663642847442,-70.48257523538071,AV37,Wind Turbine Generator,40°59.198'N,070°28.955'W,"14,191.21","25,271.66","43,722.82","60,119.75"
62,40.97023954739214,-70.4601979929804,AW38,Wind Turbine Generator,40°58.214'N,070°27.612'W,"14,187.12","25,262.10","43,714.53","60,117.98"
63,41.12006162797112,-70.48516828404483,AM37,Electrical service platform centerpoint,41°07.204'N,070°29.110'W,"14,162.83","25,268.22","43,777.50","60,137.50"
64,41.0675,-70.4413888888889,UXO,The potential UXO is approximately 1'x4' and weighs an estimated 1000lbs,41°04.050'N,070°26.483'W,"14,159.48","25,246.37","43,752.99","60,131.39"
65,41.0625,-70.47444444444444,PAM OCS-A 501,"The PAM device is approximately 6.6 feet (2 meters) high and 5.6 feet (1.7 meters) wide and weighs 1,764 (800 kg) with anchor.  The device consists of the body and four arms that extend vertically to a central lift point. The device is connected via acoustic releases to the anchor, which consists of a steel triangle assembly with five 20 kg weight plates on each point of the triangle.",41°03.750'N,070°28.467'W,"14,171.91","25,263.42","43,753.32","60,130.10"
